Player_ID,Summoner_ID,Summoner_Name,Rank,LeaguePoints,Wins,Losses,Win_rate (%)
dPnTRyNLlU8ofe-E_HwG5aH1iEknOMoZzETLqI9PNSnl67NnSylWtVeI409-2P40i3Ct1fkB4T0XUA,5QoUdCNpNv-itVQXIm2ooAtbqyHnckrFWj6fsJtsaR81eTA,ORyzeO,GrandMaster,429,82,65,55.78231293
PXOg5kGyzb8iQKLr2eqYzo8Bgo98PBpbynYg8FCeMLHtoW7oBtW1eO1hh5G4RAp1SStd6cNAMzk3QA,_Woo75KtjJ9Uj8Hi5rA3P2mgy36ERZL-a3xznVWAFDdxALc,미남현도,GrandMaster,427,50,33,60.24096386
T_8iCmw37sExcRDc1e_y6-4maKnitkYnjH3DVN5ahSXQu0EKbzFTqLoQfQt7eU0-1nEhSJ0R9eZ9Ng,Ep4W7d6STiC3DogABnu4RasLXwwyNfyYwF5qBSkeDVaezA,느 앙,GrandMaster,427,42,26,61.76470588
I6CRGPAGs93O-FVC-VqrItuACA6UXUal0sveJiT7_y-h6eeM4jQsvHZyZshZA75zyeNQPjZVsueNsA,CNie5UkaTm9UNaHuD97F5uqifDl0FYXaQN3xHhHOvHwXNX16L-VCcMtEIA,메론서리도중발각,GrandMaster,426,64,63,50.39370079
QXYmgPBHqIA4kjjcE9VIxP0uiSQxbijZOhUyBf9tcfOR1eDWhV05nKaDcwtnMby1-ytonapkT8Ct1w,BnrP71SEdIiKxGhHvQN5OjU2BzEodetu64MgQ_36rgYAayE,Not Scythe,GrandMaster,426,51,39,56.66666667
-7dYRV1nAL8AINDGYLUJjuj9qbvpVGiZe3maUG3EwQtbD0hXbbqPgV1upye2GaCMVmvIishDzUp5fA,LvcH3NaAzA64W0HIvaX1eV_I19RNE7udfR0-GCSZc7xWfg,루미내,GrandMaster,425,76,62,55.07246377
zOItlV4p6Qxb8M30jKlxbplFsYeIf3zzSNP0sixObsev9BcLYCpQpOjxWEQepWSz99-Aq_AlbY9rkg,kjf5ykKKyFhKJ9N1BTCixKgIOgMUmF2ADLXWnkCVEIjZehlHIWhgHusu8w,영원0원하자,GrandMaster,425,101,87,53.72340426
B99Oz62euddjNexlgR_y3bfki4ObUY5t2ywx3s2lJXYznu34qjtKeuB-0ws27-rd9zTB0SezxpajLg,PVB3T0ZA-pdA8a7U0GPvqC9eN2gvDLFZGrdN4q8k7xeYxkg,5809,GrandMaster,421,74,64,53.62318841
jKH7M7JrCStk4X1WgwFSKb5lhFpYgxwK-fPIaCqx_n3GUXZeMMarq0RPuV02l1B7ArVvtluaMF-0nQ,S0WnbCFfhmluuoOSnZa6vrcVgEstfs_e0ilIPV7ZXWr4VQ,람모한초밥,GrandMaster,421,40,32,55.55555556
CKxSZFMb_0K-0_5oXI2cPlNT-YQiAv9Wi9q0pRRf4h5nTOydKohVp7PUmbcJ8vqNlm1mgMRFM7l7Bw,bprPtmwOndL72I6b7i2ZWAKJDpRmlEHFhow_W70MbcLONIY,설이돼지님,GrandMaster,421,54,32,62.79069767
C4LwIwvm6ZH9T5qDJR5qJ61rEZfVuB7zZJu-Icp07b5EvekhFnb9Rdv8rg32qN2lE1JLzUDhbmVESw,8t-y2W3PtIEXqMG_1V3GlvHi9ICN-vzmhjXbnjPYw5iJ4MLo2_8XWGDuzA,k4sp3rsky,GrandMaster,421,83,66,55.70469799
WFz7uqxTNWfA_OmBS15B7K0SSlQLj4kYbdYYJQ5XcUK66QZK_6CRO1ndBF_Na6cll5FL-GGMRf6UjA,jDAA7Qa2wWiyzEpin2al5-Y2LcjiX60EtTIWdIRQi-69GCA,응애 나 애기보리,GrandMaster,420,51,37,57.95454545
mJU9wS5B_SzdSibOX_OeMITodm7Iyo3yhfcq911Sv6N9kd1AIAidUNc4ThLMBBIb9bMemMwQUPHZVw,9eXGU486FSGfdlaLGqZriO-AE0c49eHecFBhfvs4ggxAxwuMrkVB795u9w,충주사과꿀주먹,GrandMaster,420,107,105,50.47169811
8nJGDVKU9v5S9jCUK1mJBiaBqVkO366EusnMM_M9p7b2es9VZG17lbMGWd8pX3FMHt2bnHlhlKJ-AQ,hWKMC0ZzySTyFiZX-H8REnaOVWuZEHtL-tkmk_ni6ul9_pU,순방치킨,GrandMaster,419,41,28,59.42028986
_vKiORgaCOXYkDF7VusvatBTcwjo4okagQaTTs_2ShslofidZrpDHN_emGIuEYV96VSdslCFa2dYMA,Bi7wspEyVM0LB_e1s9JGuMksdLKyYb2VyyuHCWFVmm-l-w,아무코토못하죠,GrandMaster,418,47,44,51.64835165
TU3gCxV1VqN472ooAFCZqtX2qjesCTZmWR7dODtNlKmQpo3C95j-g7_PQOf62YTzFco-xe5lgQVVOA,xFKizxFj_-oTx6gGijTXAl1I9ykxZAK4s1qXOMyoXrcNIgM,Gridman,GrandMaster,417,83,64,56.46258503
jqG2t4XWHV4wldWMBimdJ6CgnN_m3qgxeky9iwtt-NVQ0GIs9Be4YPVQOx7zFWdxH-YKLCGvsTzXVg,heNRFrgIEke2NfRjyuVfxaxOjFhyY8w3IZ2c6DvMXnQm-A,곤약찬엽,GrandMaster,416,35,15,70
Jrlu5SS3RLlBptMJf7aKl8KQLUYi72LN2w9WjHcUOPWInTunXMubJNEMYjPG9ySzKRuDxWeaHaUOqQ,L3KjZSP1m69fRf4gd9sW8spm1723ZvCCDEllIQim9qWS8g,Twitch 작은거인,GrandMaster,414,66,56,54.09836066
1fb7P7T431wEjOcUwzsu-50pZ4ZU98QXETrfHkN-yFwRgLmDCkUtvw56Q2U7TNHGCkGfd-8fXGGb0w,cabc7WObTmXLQ8xG1auuv-jKMdHeU3NDoOMALwkrXnTc28E,꼴픽이,GrandMaster,414,70,59,54.26356589
XzEYg6E7ZZrSwsrgdIf5dKVgqvz3g-FPGqgJL-y95rw4-3W1b7fHXkS_Ps97ZrbQ_g5z8o-thwvcIA,6vCgSlHc1qbbjkoA7eLiS_f-e-j806Daeql-i4Sr4596UW0,a hickey,GrandMaster,413,28,16,63.63636364
o7pRBLCCflQofu4BXluSKEhBMl0fRWADisv8NlwDsvoR0tetXRSXoCVq66FG6FWomux3RrTHhRFsNA,YLEgYIfh8pgVeJfYQHG-8g1w9P90KMHxeXNiKwpRYb7kBd6iNjc4gEgLAA,순방할 결심,GrandMaster,413,117,105,52.7027027
jnTexbYn3d-RYWJygS6j39H8_pgkAai1KKx_Yv7JvYfrdesvVbxw4v4gsN4Ryp-jnyTgp-cYGEcTQw,xSXPjuelGLfjBglfbVfS_VcyUYEMs7fdVoTd1jgECyRs2UJDFBZohKerTA,XunGe,GrandMaster,410,71,62,53.38345865
oHk0q9LdR-TfzvddYB-Q0G5n0wrZc9Oki6Fc88Vp3ebN5mSxAubuknd3Sy8rUv8yN-OHlFr5FElk-Q,2uEjJbp8Tl7rR9pE8KQrJMClh1EVgw6xu1v2a_Zwgqx6yA,빈둥잉,GrandMaster,410,61,49,55.45454545
0wAeI9ZMmbEQiFZ8ea77qM6gwPCxST5rqQ1NTqjeR2No6xbrNl9qIsQiHpWZ8tExXEe2fCb3U1Odog,rpRwFNw9LU-pzhczsXMgzl0lXiEKDtyibsF2GdxoT8WW59g,여자친9,GrandMaster,409,83,68,54.96688742
qAyYIWYhn8JVnFec5UQo5AE0JGK0p0yoh05-f1WD8MM-jaxqS2XdBDAZuFnBBExHdAmJsm7gfEiQ8g,kYpb3gqrxiMBf25tno67Bx1qTf1FF2Z89RDO8hgTA2zB4Q,빙이fan 현이,GrandMaster,408,78,74,51.31578947
u2yYls8KqSeBtIONt3RfsUoNQRm-8t7N_k8IRkkSYyPtTrhXDbC7J8yYNsq6stw0C5vHhLpiPCt4-A,8M7aIMIzHRLxCSK3Diy_K0C4yI-CGSb8mwM5uMSa2EZs-l0,챙 현,GrandMaster,402,62,47,56.88073394
EUjeWyHhqWYp35Tu1qodKxc7ui7vN_puyEsg5enx0tndAwS0JOy-WcJPKAL7_wBpi9gdLKpnKUBtdQ,SdBs16A8vMUj969tiw5oGGOGTvaXjnePzK8VcmDX_2-8IpA,진쨔 적당히 좀해,GrandMaster,401,46,39,54.11764706
WgJvvSQawnHjjhvRKYFqrHm4VfQmiOeDqHqcTR6PBxINy6fO3lKddmRtwMGoO7Q2AYAEhq6mNyt3wQ,EmKWDDn3nH7eVZVyUmiCtBOHUxpU5Jf8BMsV6KTUE_DEFA8,덜못해서올라가기,GrandMaster,400,59,49,54.62962963
4RsIkIR5n7xbA8lwMmUkoBgGotrwGLhJ0uUcupCfWO_TJIWQRcDtRJC2Cj_c10OrbU5X5SxpuQuCBQ,iqgNGYiXt946b-Bh9jiAyuiZ32gbYcDggbTT-zvpTb4riw,콩서리,GrandMaster,399,106,98,51.96078431
NCqUxtO3xFztF_2JmON0-fJg7PQfdEpXz-zN3_G_ycteRN_9f_RgWyOHsyeBS-iWxx4nAuy2cjyiSA,bRK-pMDFSz5dqZKyV3tEyDv6MuTvuHO0oUdYBZJ8IKrh27U,소 랭 이,GrandMaster,398,95,86,52.48618785
zmL5s0rs7FyP_QYq9otL48eXF-1Yku1gegaGnkJjup-z2PYPGoudzFLuaDwYs77bV3xOq8s4lk1sOQ,zR6etXvgEUQ4uwAlFHamlSAKaVHuMweS0rNDOHDik2Sa0w,BBALDE,GrandMaster,395,67,48,58.26086957
fO4lRCRqHc79yY7-M_C4RCqNZjgKiovSfG-WQ8DFx1ylENRrv9VQIS6GEVF3RLcCzSF1EicdnkdflQ,5AgvwTAPGZiaFiUu-fQE_2DL9otSG-DUowcL8Cr5thUeFA,지긋지긋한 게임,GrandMaster,395,95,67,58.64197531
lTltvA1_Fq5v00pSidHOd7SzF6l5Vqpgdr54fpqO_5kHWssdPYbNkUVDd3EKXMGU9IyZsvwPtXHG3Q,eov6WSxCOLhA7ue_3u7KGv0hsVcR0ZqYx01ISVWDiw9SaZM,서폿장인노짱,GrandMaster,392,51,32,61.44578313
izKGBMb7rRWDLAZyQVfCjHAuT3R1mD99qsmayMocXvep2ccXtwUZ35UlZrfk71sw9obJkKQ8TQn3FQ,RhHxNThmQ86-0W4L4v3B-pHdI4WUryKZrW7YUqThYuRTK-0WdomfUw6nSg,A maestro,GrandMaster,391,69,49,58.47457627
e8WI7EjXPrmMQkb4r04s-u_dEImeuPvkjX04_3Ah8jU17wHQG_wMBK5pi7tGLcf5j5hEflnfhaDQKw,gc_kzlsyRTyldL6l7OelRESMv_f8RRP1AK9WCYsIxtVm0w,킹산우승,GrandMaster,389,55,35,61.11111111
zxhUfUWGSF9V9hkKxCOBEZpjqvxTD7Ku5Pu_CgmMCZp-N80Pi7ArgYHhIfe3H78qqpoPWrMBCNhg6Q,wOyQi4JmQXN86Q91eWk8We1FhpuRXlN3cWIVHPKZjJiCaM0,협곡을 떠난 낭인,GrandMaster,388,62,47,56.88073394
VYMjFQo-p2IAwdas2iJprr10yqMekM7DOUDkDDr487gnkmqwJI52_9_8yrpA4e9nrQKY-h2_DEqPfw,VdlfLeXD3d-fvL2Am_B1ePkJ6vXt2FtJDARty3LyeytDxxWAb_Wscc1YNg,유미는채팅치지마,GrandMaster,385,84,55,60.43165468
j5o3S57wvlWumPtVHGdapKFRvAiJsdw6aDBqqjH5670T6RIKkTFxV7Y9MeoQBViCUwwH-BElpS7tJQ,zv7fSbmm6qxPjjkUm2PmcTrBiaEWQebOtemRYodwOkgglukb-bml30R-1Q,Trick C,GrandMaster,385,63,48,56.75675676
aLpslYRkcBj5-c4sOzlaxFX6BuuQXHwz64tSn4I1ZeosFnUsK-eZAYKwHC28ELsQUVHsieDDjjWDYw,QMqnr81p12RzmOti0GeMJRv_EDCY--llCngBRQCslSKa37c,마빵왕봉달이,GrandMaster,384,75,52,59.05511811
vOdDF-TlqHfbSp_8qGmR6AqokUwY24LkAgk0z5gHJvJULc1MSLt5KVRbRIk2BgMuFwlRimXAyXyzaA,C_EjPug0MiLfLeVE4Ux6AsM5TylzI0U0Bfw4TTMaHOwTbA,조만옥,GrandMaster,384,28,13,68.29268293
AUewpShefz5SP4pz9itimR9N5VzTxbnRucX9gMKWmT8bBJ51iZbodM65ill-Kwn17t94XJR2Mr95uw,gvvMT1izdFJsgzXbwUzIqX1bpz6CtBr77TgwRAN5WDzcpaFfJyutqlBFhw,crackers0,GrandMaster,382,89,82,52.04678363
v5ZlDHTdTIWc_75zACKJ50q12pKeBqtEIIQw5xqb1EpFLQFylIyJOKW3HA1GMCXxh5IMCtnIdO6bSQ,HLS-YnMPXjKINI5UmnXw9lmsBODqnxLcXI2P1D1btv36cg,Port louis,GrandMaster,381,100,95,51.28205128
